TRAIN
(60, 236, 0.75)
(135, 154, 2.0)
(130, 239, 1.75)
(100, 193, 2.25)
(65, 217, 1.25)
(75, 212, 1.75)
(105, 151, 2.0)
(80, 153, 2.0)
(125, 188, 1.25)
(65, 295, 0.25)
(70, 197, 1.0)
(65, 226, 2.25)
(115, 223, 1.25)
(130, 192, 0.25)
(90, 178, 2.25)
(105, 247, 1.25)
(90, 158, 1.25)
(125, 228, 1.5)
(85, 235, 2.5)
(70, 180, 0.5)
(100, 285, 0.25)
(100, 198, 2.5)
(100, 184, 1.5)
(80, 266, 2.5)
(100, 264, 2.25)
(110, 211, 0.25)
(85, 183, 0.75)
(120, 214, 0.5)
(130, 192, 2.5)
(135, 201, 1.0)
(65, 203, 1.25)
(70, 222, 0.5)
(100, 297, 1.25)
(65, 193, 1.75)
(85, 264, 2.0)
(115, 275, 1.75)
(125, 213, 0.5)
(70, 237, 1.0)
(100, 164, 2.0)
(110, 271, 0.75)
(125, 226, 2.25)
(85, 240, 2.0)
(80, 172, 1.75)
(70, 153, 2.5)
(80, 210, 1.0)
(95, 260, 2.5)
(75, 247, 2.25)
(95, 263, 0.5)
(130, 261, 1.25)
(90, 208, 1.75)
(115, 256, 1.75)
(75, 282, 2.5)
(100, 170, 1.0)
(100, 246, 2.0)
(105, 232, 2.0)
(85, 284, 1.25)
(110, 155, 1.5)
(75, 254, 1.25)
(95, 167, 2.25)
(80, 264, 1.5)
(110, 223, 2.0)
(65, 213, 0.25)
(70, 237, 2.0)
(105, 247, 2.5)
(65, 247, 1.0)
(105, 174, 0.75)
(65, 274, 2.0)
(100, 179, 2.0)
(105, 268, 0.25)
(85, 216, 2.0)
(85, 200, 1.25)
(100, 254, 1.75)
(130, 197, 2.25)
(60, 177, 0.5)
(120, 157, 2.25)
(90, 172, 1.0)
(105, 168, 0.25)
(70, 158, 0.5)
(90, 174, 2.5)
(130, 218, 0.25)
(100, 218, 0.25)
(80, 212, 1.5)
(85, 196, 2.25)
(95, 276, 1.0)
(65, 269, 2.0)
(85, 231, 1.25)
(95, 208, 1.5)
(135, 260, 1.0)
(80, 243, 2.5)
(85, 156, 1.0)
(95, 259, 2.0)
(120, 226, 0.75)
(60, 194, 1.75)
(85, 300, 1.5)
(135, 298, 1.5)
(80, 282, 1.0)
(90, 167, 2.0)
(60, 158, 0.75)
(135, 293, 1.75)
(120, 231, 2.5)
(115, 189, 1.25)
(110, 210, 0.25)
(70, 275, 1.0)
(120, 203, 1.0)
(75, 266, 2.0)
(60, 206, 1.0)
(75, 255, 0.25)
(85, 235, 1.5)
(135, 296, 2.0)
(75, 257, 1.25)
(110, 200, 2.5)
(125, 176, 1.5)
(90, 234, 1.25)
(75, 212, 2.0)
(95, 245, 1.0)
(85, 280, 1.0)
(65, 267, 0.75)
(110, 235, 1.25)
(90, 296, 1.0)
(135, 298, 0.5)
(135, 241, 2.0)
(90, 241, 1.5)
(115, 234, 0.75)
(100, 150, 0.5)
(135, 205, 2.25)
(65, 159, 1.5)
(70, 188, 1.0)
(115, 219, 2.25)
(135, 238, 0.75)
(70, 252, 0.5)
(130, 266, 1.25)
(125, 281, 0.75)
(65, 278, 0.75)
(115, 170, 1.5)
(105, 213, 1.25)
(65, 183, 2.25)
(95, 173, 1.75)
(125, 209, 1.5)
(85, 216, 0.75)
(65, 164, 0.5)
(135, 207, 0.75)
(65, 156, 0.25)
(85, 198, 2.0)
(70, 160, 2.25)
(75, 290, 1.25)
(90, 291, 2.0)
(120, 220, 1.25)
(80, 198, 1.0)
(75, 278, 0.75)
(110, 290, 2.0)
(60, 279, 1.0)
(95, 182, 2.5)
(125, 170, 1.0)
(95, 224, 1.0)
(80, 201, 1.0)
(70, 212, 0.25)
(125, 231, 1.25)
(60, 184, 2.25)
(115, 277, 0.75)
(70, 206, 0.75)
(60, 166, 1.75)
(90, 256, 2.25)
(85, 272, 0.75)
(75, 168, 2.5)
(65, 273, 1.75)
(70, 191, 0.5)
(75, 201, 1.0)
(135, 247, 1.75)
(125, 299, 1.25)
(100, 207, 2.25)
(115, 150, 0.75)
(130, 223, 2.25)
(60, 301, 1.75)
(110, 232, 0.75)
(100, 184, 0.5)
(85, 291, 0.25)
(65, 150, 0.75)
(65, 164, 0.5)
(135, 298, 2.25)
(100, 205, 2.25)
(130, 286, 1.0)
(80, 217, 2.5)
(60, 165, 2.5)
(130, 174, 2.5)
(115, 176, 2.5)
(75, 220, 0.5)
(120, 275, 0.5)
(60, 243, 0.25)
(100, 258, 2.0)
(115, 164, 2.0)
(80, 212, 1.5)
(75, 181, 2.0)
(130, 222, 1.75)
(115, 191, 1.75)
(70, 256, 0.75)
(125, 248, 2.5)
