CONNECTION
(1, 2, 1, 217.9)
(2, 3, 1, 168.3)
(3, 4, 1, 766.3)
(4, 5, 1, 349.9)
(5, 6, 1, 306.6)
(6, 7, 1, 420.3)
(7, 8, 1, 864.5)
(8, 9, 1, 80.7)
(10, 11, 2, 842.3)
(11, 12, 2, 487.6)
(12, 13, 2, 947.1)
(13, 14, 2, 152.4)
(14, 15, 2, 937.1)
(15, 16, 2, 836.1)
(16, 17, 2, 69.5)
(17, 18, 2, 548.1)
(18, 19, 2, 138.4)
(20, 21, 3, 364.8)
(21, 22, 3, 142.4)
(22, 23, 3, 308.7)
(23, 24, 3, 213.2)
(24, 25, 3, 147.4)
(25, 26, 3, 829.3)
(26, 27, 3, 588.6)
(27, 28, 3, 892.4)
(28, 29, 3, 505.9)
(30, 31, 4, 425.2)
(31, 32, 4, 852.8)
(32, 33, 4, 158.9)
(33, 34, 4, 662.5)
(34, 35, 4, 802.9)
(35, 36, 4, 488.9)
(36, 37, 4, 666.1)
(37, 38, 4, 565.1)
(38, 39, 4, 805.2)
(40, 41, 5, 424.6)
(41, 42, 5, 885.8)
(42, 43, 5, 207.5)
(43, 44, 5, 113.1)
(44, 45, 5, 311.2)
(45, 46, 5, 470.3)
(46, 47, 5, 132.5)
(47, 48, 5, 309.5)
(48, 49, 5, 326.4)
(50, 51, 6, 641.3)
(51, 52, 6, 330.9)
(52, 53, 6, 731.1)
(53, 54, 6, 882.2)
(54, 55, 6, 919.8)
(55, 56, 6, 120.2)
(56, 57, 6, 915.5)
(57, 58, 6, 908.2)
(58, 59, 6, 706.3)
(60, 61, 7, 849.6)
(61, 62, 7, 95.6)
(62, 63, 7, 447.5)
(63, 64, 7, 487.9)
(64, 65, 7, 127.5)
(65, 66, 7, 98.3)
(66, 67, 7, 711.8)
(67, 68, 7, 429.7)
(68, 69, 7, 635.7)
(70, 71, 8, 347.1)
(71, 72, 8, 198.6)
(72, 73, 8, 735.5)
(73, 74, 8, 751.1)
(74, 75, 8, 741.9)
(75, 76, 8, 58.3)
(76, 77, 8, 318.6)
(77, 78, 8, 277.1)
(78, 79, 8, 6.6)
(80, 81, 9, 546.8)
(81, 82, 9, 142.5)
(82, 83, 9, 129.4)
(83, 84, 9, 332.6)
(84, 85, 9, 507.6)
(85, 86, 9, 387.6)
(86, 87, 9, 673.4)
(87, 88, 9, 484.6)
(88, 89, 9, 700.2)
(90, 91, 10, 542.2)
(91, 92, 10, 409.1)
(92, 93, 10, 995.1)
(93, 94, 10, 609.4)
(94, 95, 10, 629.8)
(95, 96, 10, 863.4)
(96, 97, 10, 419.3)
(97, 98, 10, 984.8)
(98, 99, 10, 581.7)
(1, 11, 12, 557.4)
(2, 12, 13, 60.8)
(3, 13, 14, 789.3)
(4, 14, 15, 724.3)
(5, 15, 16, 466.7)
(6, 16, 17, 510.9)
(7, 17, 18, 170.6)
(8, 18, 19, 810.1)
(9, 19, 20, 957.6)
(10, 20, 11, 506.9)
(11, 21, 12, 800.8)
(12, 22, 13, 903.4)
(13, 23, 14, 660.3)
(14, 24, 15, 342.7)
(15, 25, 16, 166.6)
(16, 26, 17, 756.6)
(17, 27, 18, 847.2)
(18, 28, 19, 720.3)
(19, 29, 20, 803.4)
(20, 30, 11, 63.6)
(21, 31, 12, 204.9)
(22, 32, 13, 274.8)
(23, 33, 14, 442.8)
(24, 34, 15, 28.6)
(25, 35, 16, 446.7)
(26, 36, 17, 248.5)
(27, 37, 18, 587.2)
(28, 38, 19, 896.5)
(29, 39, 20, 263.8)
(30, 40, 11, 57.9)
(31, 41, 12, 317.4)
(32, 42, 13, 778.3)
(33, 43, 14, 888.4)
(34, 44, 15, 672.6)
(35, 45, 16, 550.9)
(36, 46, 17, 144.7)
(37, 47, 18, 783.3)
(38, 48, 19, 310.2)
(39, 49, 20, 372.8)
(40, 50, 11, 977.2)
(41, 51, 12, 849.9)
(42, 52, 13, 448.5)
(43, 53, 14, 112.1)
(44, 54, 15, 854.2)
(45, 55, 16, 909.9)
(46, 56, 17, 508.9)
(47, 57, 18, 274.5)
(48, 58, 19, 749.5)
(49, 59, 20, 898.6)
(50, 60, 11, 714.7)
(51, 61, 12, 41.1)
(52, 62, 13, 29.6)
(53, 63, 14, 636.7)
(54, 64, 15, 755.8)
(55, 65, 16, 884.7)
(56, 66, 17, 215.9)
(57, 67, 18, 130.4)
(58, 68, 19, 565.1)
(59, 69, 20, 674.1)
(60, 70, 11, 288.8)
(61, 71, 12, 88.4)
(62, 72, 13, 517.8)
(63, 73, 14, 225.4)
(64, 74, 15, 406.2)
(65, 75, 16, 657.4)
(66, 76, 17, 348.3)
(67, 77, 18, 294.7)
(68, 78, 19, 196.2)
(69, 79, 20, 209.7)
(70, 80, 11, 372.6)
(71, 81, 12, 662.2)
(72, 82, 13, 319.8)
(73, 83, 14, 936.3)
(74, 84, 15, 572.2)
(75, 85, 16, 158.4)
(76, 86, 17, 764.7)
(77, 87, 18, 234.3)
(78, 88, 19, 706.2)
(79, 89, 20, 100.9)
(80, 90, 11, 588.7)
(81, 91, 12, 266.3)
(82, 92, 13, 160.5)
(83, 93, 14, 41.1)
(84, 94, 15, 143.7)
(85, 95, 16, 367.5)
(86, 96, 17, 236.3)
(87, 97, 18, 436.3)
(88, 98, 19, 210.4)
(89, 99, 20, 788.6)
